"000:00:00.000","Info","2019-09-28 01:26:42","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7085 a6984 a7587 a7066"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.619","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.619","","","","","","ZONE_DISTANCES",10935,15814,12154,16465,17193,22782,7589,8343
"000:35:30.620","","","","","","ZONE_TIMERS",103.033,197.044,129.552,170.526,129.342,170.736,169.360,130.717
"000:35:30.620","","","","","","ZONE_COUNTERS",26,26,45,45,48,48,28,28
"000:35:30.621","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.621","","","","","","TOTAL_ARENA_DISTANCES",26749,28619,39975,15932
"000:40:30.675","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.676","","","","","","ZONE_DISTANCES",14796,11236,15010,15499,18969,18680,3199,5905
"000:40:30.676","","","","","","ZONE_TIMERS",172.372,127.684,138.551,161.504,135.605,164.451,36.779,263.277
"000:40:30.677","","","","","","ZONE_COUNTERS",19,20,33,34,51,51,9,10
"000:40:30.677","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.678","","","","","","TOTAL_ARENA_DISTANCES",26032,30509,37649,9104
"000:45:30.749","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.750","","","","","","ZONE_DISTANCES",8269,16336,11116,15787,16979,16657,7363,6302
"000:45:30.750","","","","","","ZONE_TIMERS",70.454,229.619,124.155,175.918,160.954,139.119,224.750,75.324
"000:45:30.751","","","","","","ZONE_COUNTERS",22,23,41,41,56,56,18,18
"000:45:30.751","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.752","","","","","","TOTAL_ARENA_DISTANCES",24605,26903,33635,13665
"000:50:30.824","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.827","","","","","","ZONE_DISTANCES",15226,13085,11077,15580,12768,17342,4657,8093
"000:50:30.829","","","","","","ZONE_TIMERS",161.386,138.687,109.179,190.894,82.855,217.218,40.020,260.053
"000:50:30.831","","","","","","ZONE_COUNTERS",32,33,38,37,40,40,13,13
"000:50:30.833","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.835","","","","","","TOTAL_ARENA_DISTANCES",28311,26658,30110,12750
"000:55:30.924","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.926","","","","","","ZONE_DISTANCES",16484,16309,11088,15333,14289,13024,8311,8443
"000:55:30.929","","","","","","ZONE_TIMERS",156.161,143.937,130.064,170.034,185.961,114.138,202.783,97.315
"000:55:30.931","","","","","","ZONE_COUNTERS",47,47,53,53,43,43,20,20
"000:55:30.933","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.935","","","","","","TOTAL_ARENA_DISTANCES",32793,26420,27313,16754
"001:00:31.015","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:31.015","","","","","","ZONE_DISTANCES",20368,10480,12520,15742,13475,12988,4600,6922
"001:00:31.016","","","","","","ZONE_TIMERS",206.787,93.304,124.108,175.983,129.405,170.686,42.242,257.849
"001:00:31.017","","","","","","ZONE_COUNTERS",31,30,48,49,42,42,18,18
"001:00:31.017","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.018","","","","","","TOTAL_ARENA_DISTANCES",30848,28263,26463,11522
"001:00:31.086","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.087","","","","","","ZONE_DISTANCES",86078,83260,72965,94406,93673,101473,35719,44008
"001:00:31.088","","","","","","ZONE_TIMERS",870.203,930.279,755.612,1044.869,824.124,976.357,715.936,1084.545
"001:00:31.088","","","","","","ZONE_COUNTERS",176,175,256,256,277,278,104,104
"001:00:31.089","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.089","","","","","","TOTAL_ARENA_DISTANCES",169338,167372,195146,79727
"001:03:03.167","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:03.168","","","","","","ZONE_DISTANCES",1135,5100,692,4159,2651,3193,967,958
"001:03:03.169","","","","","","ZONE_TIMERS",11.838,48.254,8.659,51.432,30.891,29.200,44.710,15.382
"001:03:03.170","","","","","","ZONE_COUNTERS",10,10,9,10,12,11,3,3
"001:03:03.170","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.171","","","","","","TOTAL_ARENA_DISTANCES",6236,4850,5843,1925
"001:04:03.266","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:04:03.266","","","","","","ZONE_DISTANCES",5083,2971,3063,2692,3320,2647,1078,1163
"001:04:03.267","","","","","","ZONE_TIMERS",35.520,24.578,31.155,28.942,30.366,29.731,18.022,42.075
"001:04:03.268","","","","","","ZONE_COUNTERS",15,15,11,11,12,12,4,4
"001:04:03.269","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.269","","","","","","TOTAL_ARENA_DISTANCES",8054,5755,5967,2241
"001:05:03.366","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:05:03.367","","","","","","ZONE_DISTANCES",2242,4912,1707,4980,3234,3715,1716,1557
"001:05:03.368","","","","","","ZONE_TIMERS",18.678,41.422,14.251,45.849,31.409,28.691,36.209,23.891
"001:05:03.369","","","","","","ZONE_COUNTERS",11,12,12,12,14,14,17,18
"001:05:03.370","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:03.370","","","","","","TOTAL_ARENA_DISTANCES",7153,6687,6949,3273
"001:06:03.425","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:06:03.425","","","","","","ZONE_DISTANCES",3555,3996,2879,3158,3461,2612,1857,2966
"001:06:03.426","","","","","","ZONE_TIMERS",22.001,38.057,25.371,34.687,29.127,30.931,15.688,44.369
"001:06:03.427","","","","","","ZONE_COUNTERS",10,11,11,12,12,12,7,8
"001:06:03.427","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.428","","","","","","TOTAL_ARENA_DISTANCES",7551,6037,6074,4822
"001:07:03.490","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:07:03.491","","","","","","ZONE_DISTANCES",3395,4169,1913,3961,1338,3449,962,1925
"001:07:03.491","","","","","","ZONE_TIMERS",27.284,32.780,19.947,40.117,16.383,43.682,16.430,43.634
"001:07:03.492","","","","","","ZONE_COUNTERS",10,10,12,13,13,13,4,5
"001:07:03.493","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.493","","","","","","TOTAL_ARENA_DISTANCES",7564,5874,4787,2887
"001:07:03.563","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:03.563","","","","","","ZONE_DISTANCES",15410,21148,10254,18950,14004,15616,6580,8569
"001:07:03.564","","","","","","ZONE_TIMERS",115.322,185.092,99.385,201.029,138.178,162.237,131.062,169.352
"001:07:03.565","","","","","","ZONE_COUNTERS",55,55,54,55,61,60,34,35
"001:07:03.565","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.566","","","","","","TOTAL_ARENA_DISTANCES",36558,29204,29620,15149
"001:07:03.567","Info","2019-09-28 02:33:46","Service 'BLUGRE' : Execution end"
