"000:00:00.000","Info","2019-09-28 01:27:07","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7000 a7449 a7510 a7585"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.629","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.630","","","","","","ZONE_DISTANCES",12178,25251,25265,41532,16394,29386,7506,9333
"000:35:30.630","","","","","","ZONE_TIMERS",91.767,208.291,106.178,193.880,102.302,197.756,63.359,236.699
"000:35:30.631","","","","","","ZONE_COUNTERS",33,32,72,73,55,56,20,20
"000:35:30.631","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.631","","","","","","TOTAL_ARENA_DISTANCES",37429,66797,45780,16839
"000:40:30.689","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.690","","","","","","ZONE_DISTANCES",25428,11506,25763,38397,31376,38408,2460,3681
"000:40:30.690","","","","","","ZONE_TIMERS",206.579,93.479,110.045,190.013,113.154,186.904,18.954,281.105
"000:40:30.690","","","","","","ZONE_COUNTERS",44,43,57,58,95,96,7,8
"000:40:30.691","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.691","","","","","","TOTAL_ARENA_DISTANCES",36934,64161,69783,6141
"000:45:30.760","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.760","","","","","","ZONE_DISTANCES",460,36340,23411,38902,26487,36190,0,33
"000:45:30.761","","","","","","ZONE_TIMERS",3.029,297.041,93.469,206.600,143.921,156.149,0.000,300.070
"000:45:30.761","","","","","","ZONE_COUNTERS",5,5,51,52,97,97,0,1
"000:45:30.761","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.762","","","","","","TOTAL_ARENA_DISTANCES",36801,62313,62678,33
"000:50:30.812","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.812","","","","","","ZONE_DISTANCES",33528,428,37408,44154,20967,31868,0,19
"000:50:30.813","","","","","","ZONE_TIMERS",297.759,2.293,126.214,173.837,66.786,233.265,0.000,300.052
"000:50:30.813","","","","","","ZONE_COUNTERS",5,5,93,93,82,82,0,1
"000:50:30.814","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.814","","","","","","TOTAL_ARENA_DISTANCES",33956,81562,52834,20
"000:55:30.883","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.883","","","","","","ZONE_DISTANCES",293,38147,29620,52697,35241,55261,0,38
"000:55:30.884","","","","","","ZONE_TIMERS",1.912,298.158,87.345,212.726,134.638,165.433,0.000,300.071
"000:55:30.884","","","","","","ZONE_COUNTERS",3,3,110,110,153,154,0,1
"000:55:30.885","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.885","","","","","","TOTAL_ARENA_DISTANCES",38440,82317,90502,38
"001:00:30.962","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.962","","","","","","ZONE_DISTANCES",26059,288,48781,38354,46221,1717,0,1181
"001:00:30.963","","","","","","ZONE_TIMERS",299.039,1.039,168.617,131.460,292.253,7.825,0.000,300.078
"001:00:30.963","","","","","","ZONE_COUNTERS",1,1,100,101,19,19,0,1
"001:00:30.963","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.964","","","","","","TOTAL_ARENA_DISTANCES",26347,87135,47937,1181
"001:00:31.063","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.063","","","","","","ZONE_DISTANCES",97946,111960,190248,254036,176686,192830,9966,14285
"001:00:31.064","","","","","","ZONE_TIMERS",900.093,900.304,691.871,1108.525,853.062,947.334,82.313,1718.084
"001:00:31.064","","","","","","ZONE_COUNTERS",88,87,482,483,500,500,27,27
"001:00:31.065","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.065","","","","","","TOTAL_ARENA_DISTANCES",209906,444284,369515,24251
"001:03:02.986","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:02.987","","","","","","ZONE_DISTANCES",24,4866,3327,9000,183,12118,0,0
"001:03:02.987","","","","","","ZONE_TIMERS",0.223,59.822,10.338,49.707,0.506,59.539,0.000,60.045
"001:03:02.988","","","","","","ZONE_COUNTERS",1,1,11,11,1,2,0,1
"001:03:02.988","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.988","","","","","","TOTAL_ARENA_DISTANCES",4890,12328,12301,0
"001:04:03.042","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:04:03.042","","","","","","ZONE_DISTANCES",4390,231,6573,9604,7100,600,0,7
"001:04:03.042","","","","","","ZONE_TIMERS",57.754,2.301,20.689,39.365,56.613,3.441,0.000,60.055
"001:04:03.043","","","","","","ZONE_COUNTERS",1,1,16,17,3,3,0,1
"001:04:03.043","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.044","","","","","","TOTAL_ARENA_DISTANCES",4621,16177,7701,6
"001:05:03.125","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:05:03.125","","","","","","ZONE_DISTANCES",313,5433,6483,10332,805,11876,0,25
"001:05:03.126","","","","","","ZONE_TIMERS",1.395,58.687,18.678,41.404,4.550,55.532,0.000,60.083
"001:05:03.126","","","","","","ZONE_COUNTERS",1,1,21,22,4,4,0,1
"001:05:03.127","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:03.127","","","","","","TOTAL_ARENA_DISTANCES",5746,16814,12681,26
"001:06:03.182","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:06:03.183","","","","","","ZONE_DISTANCES",4676,211,5287,6563,6506,3014,0,44
"001:06:03.183","","","","","","ZONE_TIMERS",57.254,2.802,25.537,34.519,43.004,17.052,0.000,60.057
"001:06:03.184","","","","","","ZONE_COUNTERS",1,1,12,12,6,7,0,1
"001:06:03.184","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.184","","","","","","TOTAL_ARENA_DISTANCES",4887,11850,9520,43
"001:07:03.235","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:07:03.236","","","","","","ZONE_DISTANCES",215,4959,5536,8521,583,6710,0,12
"001:07:03.236","","","","","","ZONE_TIMERS",2.198,57.854,18.810,41.242,2.986,57.066,0.000,60.053
"001:07:03.237","","","","","","ZONE_COUNTERS",1,1,17,16,5,6,0,1
"001:07:03.237","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.237","","","","","","TOTAL_ARENA_DISTANCES",5174,14058,7294,12
"001:07:03.339","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:03.340","","","","","","ZONE_DISTANCES",9618,15700,27206,44020,15177,34318,0,88
"001:07:03.340","","","","","","ZONE_TIMERS",118.826,181.468,94.055,206.239,107.661,192.632,0.000,300.294
"001:07:03.341","","","","","","ZONE_COUNTERS",3,3,76,75,18,19,0,1
"001:07:03.341","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.341","","","","","","TOTAL_ARENA_DISTANCES",25318,71226,49495,88
"001:07:03.342","Info","2019-09-28 02:34:10","Service 'BLUGRE' : Execution end"
