"000:00:00.000","Info","2019-09-28 00:00:42","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a6890 a7706 a7004 a7746"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.721","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.722","","","","","","ZONE_DISTANCES",2247,6718,5586,9686,13348,17680,19863,24175
"000:35:30.722","","","","","","ZONE_TIMERS",58.293,241.741,60.105,239.928,119.398,180.635,136.681,163.352
"000:35:30.723","","","","","","ZONE_COUNTERS",33,33,17,18,47,47,64,64
"000:35:30.723","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.724","","","","","","TOTAL_ARENA_DISTANCES",8966,15272,31028,44039
"000:40:30.732","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.733","","","","","","ZONE_DISTANCES",5144,4297,11181,10883,14563,14022,21079,22955
"000:40:30.733","","","","","","ZONE_TIMERS",145.814,154.195,226.684,73.325,153.370,146.639,136.453,163.557
"000:40:30.734","","","","","","ZONE_COUNTERS",31,31,25,25,41,41,55,56
"000:40:30.735","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.735","","","","","","TOTAL_ARENA_DISTANCES",9441,22065,28585,44033
"000:45:30.772","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.774","","","","","","ZONE_DISTANCES",5148,6683,6395,14601,15584,14507,18808,21248
"000:45:30.776","","","","","","ZONE_TIMERS",145.323,154.716,29.332,270.707,134.642,165.397,146.836,153.203
"000:45:30.777","","","","","","ZONE_COUNTERS",27,26,16,16,42,42,48,48
"000:45:30.779","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.780","","","","","","TOTAL_ARENA_DISTANCES",11831,20996,30091,40056
"000:50:30.811","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.811","","","","","","ZONE_DISTANCES",7080,6656,8991,6830,16817,14589,17893,21795
"000:50:30.812","","","","","","ZONE_TIMERS",151.616,148.422,272.860,27.178,164.086,135.952,123.746,176.292
"000:50:30.812","","","","","","ZONE_COUNTERS",33,33,12,12,42,43,42,42
"000:50:30.813","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.813","","","","","","TOTAL_ARENA_DISTANCES",13735,15821,31406,39688
"000:55:30.822","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.823","","","","","","ZONE_DISTANCES",5423,6458,5980,14474,15750,15207,21136,20807
"000:55:30.824","","","","","","ZONE_TIMERS",130.188,169.822,25.843,274.168,140.425,159.585,158.054,141.956
"000:55:30.824","","","","","","ZONE_COUNTERS",24,24,19,19,44,45,48,49
"000:55:30.825","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.825","","","","","","TOTAL_ARENA_DISTANCES",11881,20454,30957,41943
"001:00:30.862","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.863","","","","","","ZONE_DISTANCES",5572,4024,10130,7071,13727,15886,18463,24119
"001:00:30.863","","","","","","ZONE_TIMERS",175.299,124.740,265.096,34.943,125.084,174.955,129.584,170.456
"001:00:30.864","","","","","","ZONE_COUNTERS",22,21,12,12,41,41,48,49
"001:00:30.864","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.864","","","","","","TOTAL_ARENA_DISTANCES",9596,17201,29613,42582
"001:00:30.950","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.951","","","","","","ZONE_DISTANCES",30614,34836,48263,63545,89789,91891,117242,135099
"001:00:30.951","","","","","","ZONE_TIMERS",806.542,993.638,879.928,920.253,837.013,963.167,831.356,968.824
"001:00:30.952","","","","","","ZONE_COUNTERS",167,166,99,99,256,255,304,304
"001:00:30.952","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.952","","","","","","TOTAL_ARENA_DISTANCES",65450,111808,181680,252341
"001:03:02.537","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
