"000:00:00.000","Info","2019-09-28 02:47:59","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7209 a8107 a7372 a7263"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.550","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.550","","","","","","ZONE_DISTANCES",24454,10700,44275,19762,2290,44830,13558,8368
"000:35:30.551","","","","","","ZONE_TIMERS",225.555,74.488,235.920,64.123,11.315,288.728,163.498,136.544
"000:35:30.552","","","","","","ZONE_COUNTERS",30,30,50,50,25,25,28,27
"000:35:30.552","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.552","","","","","","TOTAL_ARENA_DISTANCES",35154,64037,47120,21926
"000:40:30.615","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.615","","","","","","ZONE_DISTANCES",2636,8814,8958,32112,31129,5638,11055,17378
"000:40:30.616","","","","","","ZONE_TIMERS",20.260,279.804,32.424,267.640,258.634,41.430,106.921,193.143
"000:40:30.617","","","","","","ZONE_COUNTERS",10,10,25,26,37,37,40,39
"000:40:30.617","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.618","","","","","","TOTAL_ARENA_DISTANCES",11450,41070,36767,28433
"000:45:30.660","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
