"000:00:00.000","Info","2019-09-30 03:43:11","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7624 a6988 a7270 a6888"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.564","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.564","","","","","","ZONE_DISTANCES",19221,3182,15011,15850,12426,21497,12785,17991
"000:35:30.565","","","","","","ZONE_TIMERS",265.526,34.530,143.702,156.354,81.165,218.891,121.841,178.214
"000:35:30.566","","","","","","ZONE_COUNTERS",25,24,31,32,34,35,41,40
"000:35:30.566","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.567","","","","","","TOTAL_ARENA_DISTANCES",22404,30861,33923,30776
"000:40:30.641","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.642","","","","","","ZONE_DISTANCES",7155,16335,14908,12674,19209,14929,15589,18241
"000:40:30.643","","","","","","ZONE_TIMERS",85.117,214.958,171.220,128.856,194.652,105.423,129.582,170.494
"000:40:30.644","","","","","","ZONE_COUNTERS",33,33,28,29,43,43,37,37
"000:40:30.645","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.646","","","","","","TOTAL_ARENA_DISTANCES",23490,27582,34138,33830
"000:45:30.709","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.709","","","","","","ZONE_DISTANCES",12042,7132,16393,13624,7985,15848,14368,19834
"000:45:30.710","","","","","","ZONE_TIMERS",187.436,112.632,144.668,155.399,28.582,271.485,104.898,195.169
"000:45:30.710","","","","","","ZONE_COUNTERS",31,31,36,37,20,20,46,47
"000:45:30.711","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.711","","","","","","TOTAL_ARENA_DISTANCES",19174,30017,23833,34202
"000:50:30.765","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.765","","","","","","ZONE_DISTANCES",5820,13628,15523,13498,14920,9846,12150,20429
"000:50:30.766","","","","","","ZONE_TIMERS",86.841,213.214,178.906,121.149,241.357,58.698,101.103,198.952
"000:50:30.766","","","","","","ZONE_COUNTERS",34,34,32,32,29,29,44,45
"000:50:30.767","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.767","","","","","","TOTAL_ARENA_DISTANCES",19448,29021,24766,32579
"000:55:30.831","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:55:30.832","","","","","","ZONE_DISTANCES",13114,6358,13277,13171,7532,11358,10802,18464
"000:55:30.833","","","","","","ZONE_TIMERS",205.300,94.766,135.167,164.898,28.285,271.781,91.036,209.030
"000:55:30.833","","","","","","ZONE_COUNTERS",35,35,30,30,18,17,40,41
"000:55:30.834","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
