"000:00:00.000","Info","2019-09-30 02:06:23","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a8104 a7146 a7606 a6880"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.545","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.546","","","","","","ZONE_DISTANCES",14620,6725,14038,22584,16781,8632,15725,26213
"000:35:30.546","","","","","","ZONE_TIMERS",262.698,37.343,132.326,167.715,209.458,90.583,85.466,214.575
"000:35:30.547","","","","","","ZONE_COUNTERS",25,25,52,52,36,36,44,43
"000:35:30.547","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.547","","","","","","TOTAL_ARENA_DISTANCES",21345,36622,25413,41938
"000:40:30.600","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.601","","","","","","ZONE_DISTANCES",10124,34210,21568,8095,362,19099,23136,25672
"000:40:30.602","","","","","","ZONE_TIMERS",18.572,281.482,232.524,67.530,3.810,296.243,137.836,162.218
"000:40:30.603","","","","","","ZONE_COUNTERS",39,39,44,44,5,5,50,50
"000:40:30.604","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.605","","","","","","TOTAL_ARENA_DISTANCES",44335,29663,19460,48808
"000:45:30.667","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.668","","","","","","ZONE_DISTANCES",29512,434,12887,23585,19207,245,14406,25342
"000:45:30.669","","","","","","ZONE_TIMERS",295.993,4.073,90.879,209.187,297.732,2.334,86.811,213.255
"000:45:30.670","","","","","","ZONE_COUNTERS",2,2,53,53,1,1,29,30
"000:45:30.671","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.672","","","","","","TOTAL_ARENA_DISTANCES",29945,36472,19452,39748
"000:50:30.722","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.722","","","","","","ZONE_DISTANCES",19802,46185,20205,11535,322,21496,27055,20559
