"000:00:00.000","Info","2019-09-30 02:06:56","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7586 a7026 a7042 a6986"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.524","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.524","","","","","","ZONE_DISTANCES",21965,45029,20666,17441,7049,9956,23238,13419
"000:35:30.525","","","","","","ZONE_TIMERS",94.303,205.699,167.658,132.343,91.065,208.936,184.925,115.077
"000:35:30.526","","","","","","ZONE_COUNTERS",83,84,75,75,15,16,61,61
"000:35:30.526","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.526","","","","","","TOTAL_ARENA_DISTANCES",66994,38107,17004,36657
"000:40:30.562","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.563","","","","","","ZONE_DISTANCES",20508,35807,2419,24006,8845,9456,15535,23168
"000:40:30.564","","","","","","ZONE_TIMERS",117.041,182.997,19.624,280.413,218.139,81.899,122.479,177.559
"000:40:30.565","","","","","","ZONE_COUNTERS",63,63,11,11,24,24,53,54
"000:40:30.565","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.566","","","","","","TOTAL_ARENA_DISTANCES",56315,26426,18301,38703
"000:45:30.576","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
