"000:00:00.000","Info","2019-10-01 04:43:02","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7695 a7385 a7626 a7653"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.482","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.483","","","","","","ZONE_DISTANCES",40819,40901,13983,17841,17089,24534,21739,20448
"000:35:30.483","","","","","","ZONE_TIMERS",127.933,172.074,125.318,174.690,100.544,199.464,172.538,127.470
"000:35:30.484","","","","","","ZONE_COUNTERS",118,118,32,31,41,41,47,48
"000:35:30.485","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.485","","","","","","TOTAL_ARENA_DISTANCES",81720,31824,41623,42187
"000:40:30.538","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.538","","","","","","ZONE_DISTANCES",31260,23052,17616,17301,25098,19406,19751,14877
"000:40:30.539","","","","","","ZONE_TIMERS",195.697,104.358,149.401,150.654,170.105,129.950,185.302,114.753
"000:40:30.539","","","","","","ZONE_COUNTERS",70,69,42,42,33,33,34,34
"000:40:30.540","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.540","","","","","","TOTAL_ARENA_DISTANCES",54312,34917,44504,34628
"000:45:30.582","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.583","","","","","","ZONE_DISTANCES",30375,27270,11478,14919,19971,20879,14855,12228
"000:45:30.583","","","","","","ZONE_TIMERS",122.958,177.086,122.587,177.457,128.130,171.914,221.940,78.104
"000:45:30.584","","","","","","ZONE_COUNTERS",85,85,19,20,41,40,23,22
"000:45:30.584","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.585","","","","","","TOTAL_ARENA_DISTANCES",57645,26396,40850,27083
"000:50:30.640","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.642","","","","","","ZONE_DISTANCES",23645,20847,12576,14221,24913,18980,21313,10894
"000:50:30.644","","","","","","ZONE_TIMERS",188.550,111.505,132.597,167.459,181.114,118.942,220.954,79.101
"000:50:30.646","","","","","","ZONE_COUNTERS",68,68,27,28,44,44,36,35
"000:50:30.647","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.649","","","","","","TOTAL_ARENA_DISTANCES",44492,26798,43893,32207
"000:55:30.702","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:55:30.703","","","","","","ZONE_DISTANCES",23077,20840,12719,12650,17479,19000,28074,20336
"000:55:30.704","","","","","","ZONE_TIMERS",96.841,203.220,135.266,164.795,88.847,211.214,174.710,125.351
"000:55:30.705","","","","","","ZONE_COUNTERS",66,65,20,21,41,41,41,41
"000:55:30.706","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.707","","","","","","TOTAL_ARENA_DISTANCES",43917,25368,36480,48411
