"000:00:00.000","Info","2019-10-01 00:47:56","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7733 a7410 a6900 a7523"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.658","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.658","","","","","","ZONE_DISTANCES",41355,36669,31077,44616,17616,13107,31408,23417
"000:35:30.659","","","","","","ZONE_TIMERS",132.842,167.163,127.154,172.851,171.131,128.874,172.361,127.644
"000:35:30.659","","","","","","ZONE_COUNTERS",80,80,69,69,41,42,58,57
"000:35:30.660","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.660","","","","","","TOTAL_ARENA_DISTANCES",78024,75693,30723,54825
"000:40:30.696","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.697","","","","","","ZONE_DISTANCES",45566,37474,27332,42438,12639,12150,31041,24829
"000:40:30.697","","","","","","ZONE_TIMERS",110.850,189.188,119.519,180.519,147.745,152.293,165.136,134.902
"000:40:30.698","","","","","","ZONE_COUNTERS",73,73,63,63,22,23,52,52
"000:40:30.699","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.699","","","","","","TOTAL_ARENA_DISTANCES",83040,69770,24789,55870
"000:45:30.708","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.709","","","","","","ZONE_DISTANCES",59158,40815,33872,59525,17289,3186,34666,22818
"000:45:30.709","","","","","","ZONE_TIMERS",169.480,130.530,152.210,147.801,261.248,38.762,195.464,104.547
"000:45:30.710","","","","","","ZONE_COUNTERS",93,94,61,62,22,22,61,62
"000:45:30.710","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.710","","","","","","TOTAL_ARENA_DISTANCES",99973,93397,20475,57484
"000:50:30.749","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.750","","","","","","ZONE_DISTANCES",38346,25112,23145,36963,18595,13531,36533,19570
"000:50:30.750","","","","","","ZONE_TIMERS",160.114,139.926,144.309,155.731,169.095,130.945,201.287,98.753
"000:50:30.751","","","","","","ZONE_COUNTERS",48,49,57,57,29,28,57,57
"000:50:30.752","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.753","","","","","","TOTAL_ARENA_DISTANCES",63458,60108,32126,56103
"000:55:30.784","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:55:30.784","","","","","","ZONE_DISTANCES",38798,37931,19144,22157,11284,14242,28726,26340
"000:55:30.785","","","","","","ZONE_TIMERS",133.143,166.891,152.486,147.548,130.914,169.120,147.133,152.901
"000:55:30.785","","","","","","ZONE_COUNTERS",76,77,45,45,24,23,52,52
"000:55:30.786","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.786","","","","","","TOTAL_ARENA_DISTANCES",76729,41301,25526,55066
"001:00:30.828","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:00:30.829","","","","","","ZONE_DISTANCES",48095,40705,18139,19079,9170,12725,26891,31363
"001:00:30.829","","","","","","ZONE_TIMERS",113.356,186.688,181.838,118.206,118.305,181.739,125.507,174.537
"001:00:30.830","","","","","","ZONE_COUNTERS",76,77,42,42,24,24,53,53
"001:00:30.830","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.830","","","","","","TOTAL_ARENA_DISTANCES",88800,37218,21895,58254
"001:00:30.916","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.916","","","","","","ZONE_DISTANCES",271318,218706,152709,224778,86593,68941,189265,148337
"001:00:30.917","","","","","","ZONE_TIMERS",819.787,980.394,877.523,922.659,998.440,801.741,1006.896,793.286
"001:00:30.917","","","","","","ZONE_COUNTERS",445,446,335,335,159,160,331,330
"001:00:30.918","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.918","","","","","","TOTAL_ARENA_DISTANCES",490024,377487,155534,337601
"001:03:02.370","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:03:02.372","","","","","","ZONE_DISTANCES",5972,3847,2588,4043,2743,2155,4740,5012
"001:03:02.374","","","","","","ZONE_TIMERS",33.701,26.346,22.083,37.963,34.222,25.825,26.196,33.851
"001:03:02.376","","","","","","ZONE_COUNTERS",14,13,7,7,7,6,9,9
"001:03:02.377","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.379","","","","","","TOTAL_ARENA_DISTANCES",9818,6631,4899,9752
"001:04:02.454","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:04:02.455","","","","","","ZONE_DISTANCES",6472,2774,3182,2959,1753,2793,5761,6094
"001:04:02.456","","","","","","ZONE_TIMERS",37.827,22.257,38.921,21.163,22.691,37.393,26.677,33.408
"001:04:02.456","","","","","","ZONE_COUNTERS",9,9,9,9,6,6,9,9
"001:04:02.457","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:02.457","","","","","","TOTAL_ARENA_DISTANCES",9247,6141,4545,11855
"001:05:02.514","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:05:02.514","","","","","","ZONE_DISTANCES",7255,4061,2640,4201,3151,1757,9529,2312
"001:05:02.515","","","","","","ZONE_TIMERS",39.883,20.176,19.539,40.519,37.174,22.884,49.954,10.104
"001:05:02.515","","","","","","ZONE_COUNTERS",14,14,9,8,7,8,13,12
"001:05:02.516","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:02.516","","","","","","TOTAL_ARENA_DISTANCES",11316,6842,4908,11841
"001:06:02.582","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:06:02.582","","","","","","ZONE_DISTANCES",5170,5937,3673,3495,2245,2533,4684,6790
"001:06:02.583","","","","","","ZONE_TIMERS",18.769,41.298,34.986,25.081,28.259,31.808,23.788,36.279
"001:06:02.583","","","","","","ZONE_COUNTERS",12,12,11,10,7,7,16,16
"001:06:02.584","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:02.584","","","","","","TOTAL_ARENA_DISTANCES",11107,7168,4778,11473
"001:07:02.653","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:07:02.654","","","","","","ZONE_DISTANCES",8840,5047,4197,7030,2434,2738,5344,6389
"001:07:02.654","","","","","","ZONE_TIMERS",37.853,22.218,25.929,34.141,28.254,31.816,24.337,35.734
"001:07:02.655","","","","","","ZONE_COUNTERS",19,20,15,14,7,7,19,19
"001:07:02.655","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:02.656","","","","","","TOTAL_ARENA_DISTANCES",13887,11227,5172,11733
"001:07:02.746","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:02.747","","","","","","ZONE_DISTANCES",33709,21666,16280,21728,12326,11976,30058,26597
"001:07:02.748","","","","","","ZONE_TIMERS",168.034,132.296,141.460,158.870,150.602,149.728,150.953,149.377
"001:07:02.749","","","","","","ZONE_COUNTERS",66,66,48,47,32,32,64,63
"001:07:02.750","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:02.751","","","","","","TOTAL_ARENA_DISTANCES",55375,38008,24302,56654
