"000:00:00.000","Info","2019-10-01 04:43:38","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7283 a6944 a6818 a6860"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.576","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.576","","","","","","ZONE_DISTANCES",10594,19079,13801,22002,14138,18653,3617,6023
"000:35:30.577","","","","","","ZONE_TIMERS",91.449,208.588,112.757,187.280,41.854,258.183,71.567,228.470
"000:35:30.578","","","","","","ZONE_COUNTERS",52,52,33,32,36,37,13,13
"000:35:30.578","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.578","","","","","","TOTAL_ARENA_DISTANCES",29673,35803,32791,9639
"000:40:30.587","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.588","","","","","","ZONE_DISTANCES",32141,18152,21643,12306,12207,6984,3943,1562
"000:40:30.588","","","","","","ZONE_TIMERS",210.027,89.983,189.584,110.426,258.998,41.012,284.851,15.159
"000:40:30.589","","","","","","ZONE_COUNTERS",80,80,32,32,16,16,7,7
"000:40:30.589","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.590","","","","","","TOTAL_ARENA_DISTANCES",50293,33949,19191,5505
"000:45:30.625","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.626","","","","","","ZONE_DISTANCES",14476,22198,14114,15045,6521,13040,235,4771
"000:45:30.627","","","","","","ZONE_TIMERS",98.498,201.540,126.595,173.442,22.113,277.925,2.499,297.539
"000:45:30.628","","","","","","ZONE_COUNTERS",58,59,24,25,12,12,2,2
"000:45:30.628","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.629","","","","","","TOTAL_ARENA_DISTANCES",36674,29159,19561,5006
"000:50:30.637","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.637","","","","","","ZONE_DISTANCES",46558,42818,9048,8603,12079,5359,5188,1580
"000:50:30.638","","","","","","ZONE_TIMERS",192.546,107.464,107.717,192.294,277.195,22.816,280.223,19.788
"000:50:30.638","","","","","","ZONE_COUNTERS",142,142,24,25,14,14,11,11
"000:50:30.639","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.639","","","","","","TOTAL_ARENA_DISTANCES",89376,17651,17439,6768
"000:55:30.675","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:55:30.676","","","","","","ZONE_DISTANCES",18029,26589,12819,10203,5038,15064,243,4677
"000:55:30.676","","","","","","ZONE_TIMERS",88.119,211.918,147.667,152.371,17.032,283.006,2.082,297.956
"000:55:30.677","","","","","","ZONE_COUNTERS",78,78,23,23,16,16,2,2
"000:55:30.678","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.678","","","","","","TOTAL_ARENA_DISTANCES",44618,23022,20102,4920
"001:00:30.720","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:00:30.721","","","","","","ZONE_DISTANCES",59970,46531,10415,9683,11086,3870,5356,1950
"001:00:30.721","","","","","","ZONE_TIMERS",235.886,64.158,141.958,158.086,284.304,15.740,262.982,37.062
"001:00:30.722","","","","","","ZONE_COUNTERS",174,174,23,23,12,12,4,4
