"000:00:00.000","Info","2019-10-01 02:19:19","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7524 a7304 a7331 a7103"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.538","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.539","","","","","","ZONE_DISTANCES",24867,4962,12126,21902,13548,15281,13890,10206
"000:35:30.539","","","","","","ZONE_TIMERS",254.588,45.414,98.939,201.062,132.111,167.891,164.768,135.234
"000:35:30.540","","","","","","ZONE_COUNTERS",25,24,35,36,33,34,43,44
"000:35:30.540","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.541","","","","","","TOTAL_ARENA_DISTANCES",29829,34028,28829,24096
"000:40:30.577","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.577","","","","","","ZONE_DISTANCES",550,17622,1455,9654,14058,13823,12224,13274
"000:40:30.578","","","","","","ZONE_TIMERS",5.095,294.942,13.127,286.911,173.013,127.024,146.405,153.632
"000:40:30.579","","","","","","ZONE_COUNTERS",4,4,4,5,27,28,34,35
"000:40:30.579","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.579","","","","","","TOTAL_ARENA_DISTANCES",18172,11109,27882,25497
"000:45:30.589","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.591","","","","","","ZONE_DISTANCES",16131,274,8165,741,10198,13781,11884,9548
"000:45:30.592","","","","","","ZONE_TIMERS",298.016,1.994,292.160,7.851,107.767,192.243,161.137,138.873
"000:45:30.594","","","","","","ZONE_COUNTERS",1,1,3,3,23,24,37,37
"000:45:30.595","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.597","","","","","","TOTAL_ARENA_DISTANCES",16405,8906,23979,21433
"000:50:30.629","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.629","","","","","","ZONE_DISTANCES",1303,13702,572,7391,11844,12149,8229,10584
"000:50:30.629","","","","","","ZONE_TIMERS",11.810,288.230,6.982,293.058,180.552,119.488,128.529,171.511
"000:50:30.630","","","","","","ZONE_COUNTERS",1,1,1,1,25,26,33,33
"000:50:30.630","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.631","","","","","","TOTAL_ARENA_DISTANCES",15005,7963,23993,18813
