"000:00:00.000","Info","2019-10-01 02:18:53","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7650 a7151 a7617 a7195"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.561","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.562","","","","","","ZONE_DISTANCES",23405,22154,13812,18247,14198,14383,14840,18152
"000:35:30.562","","","","","","ZONE_TIMERS",160.263,139.803,100.186,199.880,124.321,175.745,123.175,176.891
"000:35:30.563","","","","","","ZONE_COUNTERS",55,54,38,38,30,29,32,31
"000:35:30.564","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.564","","","","","","TOTAL_ARENA_DISTANCES",45559,32060,28581,32992
"000:40:30.617","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.617","","","","","","ZONE_DISTANCES",18249,25941,17585,11232,282,21235,12552,13867
"000:40:30.618","","","","","","ZONE_TIMERS",126.547,173.507,215.587,84.468,3.330,296.725,128.239,171.816
"000:40:30.618","","","","","","ZONE_COUNTERS",49,49,31,30,7,7,33,33
"000:40:30.619","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.619","","","","","","TOTAL_ARENA_DISTANCES",44190,28816,21517,26419
"000:45:30.681","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.682","","","","","","ZONE_DISTANCES",24359,22220,16280,19457,23764,2881,14761,12652
"000:45:30.682","","","","","","ZONE_TIMERS",151.850,148.214,120.953,179.110,270.738,29.325,153.576,146.488
"000:45:30.683","","","","","","ZONE_COUNTERS",54,55,42,42,18,18,39,39
"000:45:30.684","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
