"000:00:00.000","Info","2019-10-02 01:16:18","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7447 a7012 a7097 a7584"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.697","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.697","","","","","","ZONE_DISTANCES",14244,17859,20343,11942,13604,15026,13957,12209
"000:35:30.698","","","","","","ZONE_TIMERS",136.697,163.358,205.472,94.583,144.280,155.775,180.731,119.325
"000:35:30.699","","","","","","ZONE_COUNTERS",51,51,38,37,41,41,31,31
"000:35:30.699","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.700","","","","","","TOTAL_ARENA_DISTANCES",32103,32284,28630,26166
"000:40:30.777","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.778","","","","","","ZONE_DISTANCES",17208,14966,12255,18468,11449,17221,13854,15907
"000:40:30.778","","","","","","ZONE_TIMERS",151.039,149.040,101.334,198.745,110.384,189.695,129.679,170.400
"000:40:30.779","","","","","","ZONE_COUNTERS",53,53,40,40,36,36,36,36
"000:40:30.780","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.780","","","","","","TOTAL_ARENA_DISTANCES",32174,30723,28670,29760
"000:45:30.840","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.840","","","","","","ZONE_DISTANCES",12896,16624,15009,13866,15326,11733,16778,16030
"000:45:30.841","","","","","","ZONE_TIMERS",131.100,168.962,162.561,137.500,176.558,123.503,154.905,145.157
"000:45:30.842","","","","","","ZONE_COUNTERS",48,48,42,42,37,37,45,46
"000:45:30.842","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.842","","","","","","TOTAL_ARENA_DISTANCES",29521,28876,27058,32809
"000:50:30.923","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.923","","","","","","ZONE_DISTANCES",13166,13302,14497,14177,11834,12048,15114,14274
"000:50:30.924","","","","","","ZONE_TIMERS",139.725,160.357,142.382,157.700,140.136,159.946,152.496,147.586
"000:50:30.924","","","","","","ZONE_COUNTERS",47,48,37,37,39,38,36,36
"000:50:30.925","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.925","","","","","","TOTAL_ARENA_DISTANCES",26467,28674,23882,29388
"000:55:30.978","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.979","","","","","","ZONE_DISTANCES",10350,17018,15054,14448,13159,12218,16037,16907
"000:55:30.979","","","","","","ZONE_TIMERS",113.333,186.721,159.437,140.617,163.163,136.891,147.258,152.797
"000:55:30.980","","","","","","ZONE_COUNTERS",49,50,40,40,43,42,43,42
"000:55:30.980","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.981","","","","","","TOTAL_ARENA_DISTANCES",27369,29501,25377,32944
"001:00:31.040","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:31.040","","","","","","ZONE_DISTANCES",14458,13202,13574,15328,10912,12574,15729,17503
"001:00:31.041","","","","","","ZONE_TIMERS",146.978,153.083,124.288,175.773,131.316,168.745,137.371,162.690
"001:00:31.042","","","","","","ZONE_COUNTERS",47,48,38,38,35,35,42,41
"001:00:31.042","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.043","","","","","","TOTAL_ARENA_DISTANCES",27659,28902,23486,33232
"001:00:31.110","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.110","","","","","","ZONE_DISTANCES",82322,92971,90732,88229,76284,80820,91469,92830
"001:00:31.111","","","","","","ZONE_TIMERS",818.874,981.531,895.477,904.928,865.840,934.566,902.448,897.957
"001:00:31.112","","","","","","ZONE_COUNTERS",294,294,232,232,227,228,230,230
