"000:00:00.000","Info","2019-10-02 04:08:16","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a6880 a8104 a7146 a7606"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.512","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.513","","","","","","ZONE_DISTANCES",36487,47844,17304,37638,17986,18391,985,24458
"000:35:30.514","","","","","","ZONE_TIMERS",133.350,166.653,75.172,224.831,155.908,144.094,8.002,292.001
"000:35:30.514","","","","","","ZONE_COUNTERS",80,80,59,60,45,44,8,8
"000:35:30.515","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.515","","","","","","TOTAL_ARENA_DISTANCES",84331,54942,36376,25443
"000:40:30.548","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.549","","","","","","ZONE_DISTANCES",18282,44873,34620,15836,15771,14587,21713,505
"000:40:30.549","","","","","","ZONE_TIMERS",64.251,235.784,265.896,34.139,161.618,138.417,294.342,5.693
"000:40:30.550","","","","","","ZONE_COUNTERS",52,53,44,44,34,33,3,3
"000:40:30.550","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.550","","","","","","TOTAL_ARENA_DISTANCES",63156,50457,30358,22218
"000:45:30.563","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.563","","","","","","ZONE_DISTANCES",36967,59020,6050,34010,15326,14017,240,22620
"000:45:30.564","","","","","","ZONE_TIMERS",93.086,206.927,26.833,273.180,177.256,122.757,2.766,297.247
"000:45:30.565","","","","","","ZONE_COUNTERS",96,96,36,36,39,39,2,2
"000:45:30.565","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.566","","","","","","TOTAL_ARENA_DISTANCES",95986,40060,29344,22859
"000:50:30.602","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.602","","","","","","ZONE_DISTANCES",19197,38434,39085,24255,12681,16494,20198,457
"000:50:30.602","","","","","","ZONE_TIMERS",66.063,233.975,236.033,64.005,109.424,190.614,295.009,5.029
"000:50:30.603","","","","","","ZONE_COUNTERS",53,53,90,90,34,35,2,2
"000:50:30.603","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
