"000:00:00.000","Info","2019-10-03 01:38:31","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a6860 a7283 a6944 a6818"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.643","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.643","","","","","","ZONE_DISTANCES",3730,4675,26176,12639,17939,14901,19368,10806
"000:35:30.644","","","","","","ZONE_TIMERS",115.890,184.138,206.625,93.403,159.641,140.387,221.552,78.476
"000:35:30.644","","","","","","ZONE_COUNTERS",19,20,73,72,42,41,31,30
"000:35:30.645","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.645","","","","","","TOTAL_ARENA_DISTANCES",8405,38815,32840,30175
"000:40:30.655","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.655","","","","","","ZONE_DISTANCES",3173,3117,12796,28002,13503,12599,14736,9467
"000:40:30.656","","","","","","ZONE_TIMERS",129.070,170.940,85.745,214.265,152.929,147.081,215.662,84.348
"000:40:30.657","","","","","","ZONE_COUNTERS",14,15,62,62,37,37,21,20
"000:40:30.657","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.658","","","","","","TOTAL_ARENA_DISTANCES",6290,40798,26102,24203
"000:45:30.697","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.699","","","","","","ZONE_DISTANCES",2727,3216,25843,19435,8514,16978,16189,9391
"000:45:30.701","","","","","","ZONE_TIMERS",149.396,150.645,177.043,122.999,98.502,201.539,238.621,61.420
"000:45:30.703","","","","","","ZONE_COUNTERS",18,18,65,65,41,41,25,24
"000:45:30.705","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.706","","","","","","TOTAL_ARENA_DISTANCES",5942,45278,25492,25580
"000:50:30.751","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.751","","","","","","ZONE_DISTANCES",2298,4305,18424,26995,19244,10135,9238,4785
"000:50:30.752","","","","","","ZONE_TIMERS",76.323,223.730,112.581,187.472,206.089,93.964,265.435,34.618
"000:50:30.752","","","","","","ZONE_COUNTERS",28,28,63,63,44,43,11,11
"000:50:30.753","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
