"000:00:00.000","Info","2019-10-03 04:33:21","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7103 a7524 a7304 a7331"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.597","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.597","","","","","","ZONE_DISTANCES",12704,30310,10146,22711,8355,18427,15403,14453
"000:35:30.598","","","","","","ZONE_TIMERS",106.658,193.382,85.111,214.929,88.318,211.722,173.278,126.762
"000:35:30.599","","","","","","ZONE_COUNTERS",50,50,46,46,30,29,37,37
"000:35:30.600","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.600","","","","","","TOTAL_ARENA_DISTANCES",43014,32857,26783,29856
"000:40:30.663","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.664","","","","","","ZONE_DISTANCES",17716,33142,17214,13946,14110,14293,16815,14709
"000:40:30.664","","","","","","ZONE_TIMERS",129.585,170.481,170.258,129.808,140.748,159.318,164.900,135.165
"000:40:30.665","","","","","","ZONE_COUNTERS",59,58,41,40,28,28,38,38
"000:40:30.665","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.666","","","","","","TOTAL_ARENA_DISTANCES",50857,31159,28403,31524
"000:45:30.736","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.737","","","","","","ZONE_DISTANCES",38371,48397,8157,22859,16830,13643,16922,13582
"000:45:30.737","","","","","","ZONE_TIMERS",149.388,150.684,77.031,223.041,170.781,129.291,190.239,109.833
"000:45:30.738","","","","","","ZONE_COUNTERS",144,143,43,43,34,35,40,40
"000:45:30.738","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.739","","","","","","TOTAL_ARENA_DISTANCES",86768,31016,30472,30504
"000:50:30.781","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.782","","","","","","ZONE_DISTANCES",36949,33300,22638,8084,14944,15721,15511,15136
"000:50:30.782","","","","","","ZONE_TIMERS",170.771,129.273,227.373,72.671,146.582,153.462,148.537,151.508
"000:50:30.783","","","","","","ZONE_COUNTERS",91,90,40,40,21,22,37,38
"000:50:30.783","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.784","","","","","","TOTAL_ARENA_DISTANCES",70249,30722,30665,30647
"000:55:30.850","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.851","","","","","","ZONE_DISTANCES",37767,41867,4079,25666,11568,16583,14304,13578
"000:55:30.851","","","","","","ZONE_TIMERS",151.737,148.331,37.593,262.474,112.984,187.083,176.399,123.669
"000:55:30.852","","","","","","ZONE_COUNTERS",129,129,33,33,29,29,36,36
"000:55:30.852","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.853","","","","","","TOTAL_ARENA_DISTANCES",79634,29745,28151,27882
"001:00:30.925","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.926","","","","","","ZONE_DISTANCES",31532,26875,24210,3761,18226,9198,11252,12598
"001:00:30.926","","","","","","ZONE_TIMERS",180.281,119.794,266.533,33.542,204.326,95.748,120.957,179.117
"001:00:30.927","","","","","","ZONE_COUNTERS",78,78,26,26,26,25,29,28
"001:00:30.927","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.928","","","","","","TOTAL_ARENA_DISTANCES",58407,27971,27424,23850
"001:00:30.986","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.986","","","","","","ZONE_DISTANCES",175039,213891,86444,97027,84033,87865,90207,84056
"001:00:30.987","","","","","","ZONE_TIMERS",888.428,911.947,863.908,936.467,863.748,936.627,974.318,826.057
"001:00:30.987","","","","","","ZONE_COUNTERS",547,547,226,226,166,165,215,214
"001:00:30.988","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.988","","","","","","TOTAL_ARENA_DISTANCES",388930,183471,171898,174263
"001:03:02.821","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:02.821","","","","","","ZONE_DISTANCES",3450,4347,49,4882,249,4359,2041,3229
"001:03:02.822","","","","","","ZONE_TIMERS",25.548,34.491,0.417,59.622,1.877,58.162,26.207,33.833
"001:03:02.822","","","","","","ZONE_COUNTERS",16,16,1,1,1,1,9,9
"001:03:02.823","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.823","","","","","","TOTAL_ARENA_DISTANCES",7797,4931,4608,5270
"001:04:02.909","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:04:02.910","","","","","","ZONE_DISTANCES",4030,727,4975,783,4091,315,2437,2652
"001:04:02.910","","","","","","ZONE_TIMERS",53.743,6.345,56.622,3.465,57.231,2.857,26.376,33.712
"001:04:02.911","","","","","","ZONE_COUNTERS",10,10,2,2,1,1,7,8
"001:04:02.912","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:02.912","","","","","","TOTAL_ARENA_DISTANCES",4757,5758,4406,5089
"001:05:02.970","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:05:02.971","","","","","","ZONE_DISTANCES",3472,7295,588,5320,507,4251,2420,2590
"001:05:02.971","","","","","","ZONE_TIMERS",13.658,46.401,5.162,54.897,5.746,54.314,33.669,26.390
"001:05:02.972","","","","","","ZONE_COUNTERS",18,18,6,5,1,1,7,8
"001:05:02.972","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:02.973","","","","","","TOTAL_ARENA_DISTANCES",10766,5908,4758,5011
"001:06:03.056","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:06:03.057","","","","","","ZONE_DISTANCES",4960,4628,5129,901,3838,444,2552,2521
"001:06:03.058","","","","","","ZONE_TIMERS",40.783,19.302,52.491,7.594,54.843,5.242,30.327,29.758
"001:06:03.058","","","","","","ZONE_COUNTERS",21,21,6,5,1,1,7,8
"001:06:03.059","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.059","","","","","","TOTAL_ARENA_DISTANCES",9589,6030,4283,5073
"001:07:03.110","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:07:03.111","","","","","","ZONE_DISTANCES",5657,7969,826,4995,265,4049,2410,2282
"001:07:03.112","","","","","","ZONE_TIMERS",18.281,41.772,7.179,52.874,2.142,57.911,35.014,25.039
"001:07:03.112","","","","","","ZONE_COUNTERS",22,22,4,4,1,1,7,7
"001:07:03.113","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.113","","","","","","TOTAL_ARENA_DISTANCES",13625,5821,4314,4691
"001:07:03.176","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:03.179","","","","","","ZONE_DISTANCES",21569,24966,11567,16881,8950,13418,11860,13274
"001:07:03.181","","","","","","ZONE_TIMERS",152.015,148.314,121.874,178.455,121.840,178.489,151.595,148.734
"001:07:03.183","","","","","","ZONE_COUNTERS",85,85,16,16,3,3,37,36
"001:07:03.185","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.187","","","","","","TOTAL_ARENA_DISTANCES",46535,28448,22369,25133
"001:07:03.190","Info","2019-10-03 05:40:25","Service 'BLUGRE' : Execution end"
