"000:00:00.000","Info","2019-10-03 03:07:24","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7058 a6936 a7489 a7588"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.519","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.519","","","","","","ZONE_DISTANCES",6277,11820,4611,24309,18861,15482,17297,21873
"000:35:30.520","","","","","","ZONE_TIMERS",109.067,190.966,44.692,255.340,160.292,139.741,130.757,169.275
"000:35:30.520","","","","","","ZONE_COUNTERS",26,27,26,26,33,33,55,54
"000:35:30.521","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.521","","","","","","TOTAL_ARENA_DISTANCES",18097,28919,34342,39170
"000:40:30.563","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.563","","","","","","ZONE_DISTANCES",6039,8979,9020,18897,34366,35333,21867,18460
"000:40:30.564","","","","","","ZONE_TIMERS",61.801,238.242,86.683,213.360,134.194,165.849,160.247,139.796
"000:40:30.564","","","","","","ZONE_COUNTERS",21,22,29,28,81,80,54,54
"000:40:30.565","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.565","","","","","","TOTAL_ARENA_DISTANCES",15018,27917,69700,40327
"000:45:30.606","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.608","","","","","","ZONE_DISTANCES",8304,6880,15627,12474,34512,43255,10961,21023
"000:45:30.610","","","","","","ZONE_TIMERS",186.974,113.067,175.015,125.027,136.130,163.911,86.480,213.561
"000:45:30.611","","","","","","ZONE_COUNTERS",19,20,38,38,91,90,33,33
"000:45:30.613","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.615","","","","","","TOTAL_ARENA_DISTANCES",15184,28101,77767,31984
"000:50:30.660","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.660","","","","","","ZONE_DISTANCES",9465,11160,15672,16126,23150,35146,20138,19451
"000:50:30.661","","","","","","ZONE_TIMERS",130.018,170.036,143.378,156.675,89.441,210.613,144.737,155.317
"000:50:30.662","","","","","","ZONE_COUNTERS",35,36,48,49,51,51,48,47
"000:50:30.662","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.662","","","","","","TOTAL_ARENA_DISTANCES",20625,31798,58296,39589
"000:55:30.705","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.706","","","","","","ZONE_DISTANCES",7360,5875,15144,17354,23010,6761,22127,28677
"000:55:30.706","","","","","","ZONE_TIMERS",226.137,73.907,142.013,158.031,257.906,42.138,133.992,166.052
"000:55:30.707","","","","","","ZONE_COUNTERS",19,19,56,56,28,28,65,64
"000:55:30.707","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
