type,marking,test,unit,filepath,date,sum_time,arena,time_min,day,exp,zone,tod,learning,exp_group
PROBE,a7584,MAGCS,PROBE1,./Day_9_Missing_Data/MAGORA-t1d-B4-D9-PM.csv,2019-07-09,11,ARENA1,11,9,MAGORA,CS,PM,reverse,4
PROBE,a7584,MAGCS,PROBE2,./Day_9_Missing_Data/MAGORA-t1d-B4-D9-PM.csv,2019-07-09,20.8667,ARENA1,20.8667,9,MAGORA,CS,PM,reverse,4
PROBE,a7584,MAGCS,PROBE3,./Day_9_Missing_Data/MAGORA-t1d-B4-D9-PM.csv,2019-07-09,19.2668,ARENA1,19.2668,9,MAGORA,CS,PM,reverse,4
PROBE,a7584,ORANON,PROBE1,./Day_9_Missing_Data/MAGORA-t1d-B4-D9-PM.csv,2019-07-09,49,ARENA1,49,9,MAGORA,NON,PM,reverse,4
PROBE,a7584,ORANON,PROBE2,./Day_9_Missing_Data/MAGORA-t1d-B4-D9-PM.csv,2019-07-09,39.1333,ARENA1,39.1333,9,MAGORA,NON,PM,reverse,4
PROBE,a7584,ORANON,PROBE3,./Day_9_Missing_Data/MAGORA-t1d-B4-D9-PM.csv,2019-07-09,40.7332,ARENA1,40.7332,9,MAGORA,NON,PM,reverse,4
PROBE,a7447,MAGCS,PROBE1,./Day_9_Missing_Data/MAGORA-t1d-B4-D9-PM.csv,2019-07-09,2.40006,ARENA2,2.40006,9,MAGORA,CS,PM,reverse,4
PROBE,a7447,MAGCS,PROBE2,./Day_9_Missing_Data/MAGORA-t1d-B4-D9-PM.csv,2019-07-09,16.0668,ARENA2,16.0668,9,MAGORA,CS,PM,reverse,4
PROBE,a7447,MAGCS,PROBE3,./Day_9_Missing_Data/MAGORA-t1d-B4-D9-PM.csv,2019-07-09,12.1335,ARENA2,12.1335,9,MAGORA,CS,PM,reverse,4
PROBE,a7447,ORANON,PROBE1,./Day_9_Missing_Data/MAGORA-t1d-B4-D9-PM.csv,2019-07-09,57.5999,ARENA2,57.5999,9,MAGORA,NON,PM,reverse,4
PROBE,a7447,ORANON,PROBE2,./Day_9_Missing_Data/MAGORA-t1d-B4-D9-PM.csv,2019-07-09,43.9332,ARENA2,43.9332,9,MAGORA,NON,PM,reverse,4
PROBE,a7447,ORANON,PROBE3,./Day_9_Missing_Data/MAGORA-t1d-B4-D9-PM.csv,2019-07-09,47.8665,ARENA2,47.8665,9,MAGORA,NON,PM,reverse,4
PROBE,a7012,MAGCS,PROBE1,./Day_9_Missing_Data/MAGORA-t1d-B4-D9-PM.csv,2019-07-09,28.2,ARENA3,28.2,9,MAGORA,CS,PM,reverse,4
PROBE,a7012,MAGCS,PROBE2,./Day_9_Missing_Data/MAGORA-t1d-B4-D9-PM.csv,2019-07-09,36.4667,ARENA3,36.4667,9,MAGORA,CS,PM,reverse,4
PROBE,a7012,MAGCS,PROBE3,./Day_9_Missing_Data/MAGORA-t1d-B4-D9-PM.csv,2019-07-09,23.6,ARENA3,23.6,9,MAGORA,CS,PM,reverse,4
PROBE,a7012,ORANON,PROBE1,./Day_9_Missing_Data/MAGORA-t1d-B4-D9-PM.csv,2019-07-09,31.8,ARENA3,31.8,9,MAGORA,NON,PM,reverse,4
PROBE,a7012,ORANON,PROBE2,./Day_9_Missing_Data/MAGORA-t1d-B4-D9-PM.csv,2019-07-09,23.5332,ARENA3,23.5332,9,MAGORA,NON,PM,reverse,4
PROBE,a7012,ORANON,PROBE3,./Day_9_Missing_Data/MAGORA-t1d-B4-D9-PM.csv,2019-07-09,36.4,ARENA3,36.4,9,MAGORA,NON,PM,reverse,4
PROBE,a7097,MAGCS,PROBE1,./Day_9_Missing_Data/MAGORA-t1d-B4-D9-PM.csv,2019-07-09,6.86672,ARENA4,6.86672,9,MAGORA,CS,PM,reverse,4
PROBE,a7097,MAGCS,PROBE2,./Day_9_Missing_Data/MAGORA-t1d-B4-D9-PM.csv,2019-07-09,48.2666,ARENA4,48.2666,9,MAGORA,CS,PM,reverse,4
PROBE,a7097,MAGCS,PROBE3,./Day_9_Missing_Data/MAGORA-t1d-B4-D9-PM.csv,2019-07-09,23.5332,ARENA4,23.5332,9,MAGORA,CS,PM,reverse,4
PROBE,a7097,ORANON,PROBE1,./Day_9_Missing_Data/MAGORA-t1d-B4-D9-PM.csv,2019-07-09,53.1333,ARENA4,53.1333,9,MAGORA,NON,PM,reverse,4
PROBE,a7097,ORANON,PROBE2,./Day_9_Missing_Data/MAGORA-t1d-B4-D9-PM.csv,2019-07-09,11.7334,ARENA4,11.7334,9,MAGORA,NON,PM,reverse,4
PROBE,a7097,ORANON,PROBE3,./Day_9_Missing_Data/MAGORA-t1d-B4-D9-PM.csv,2019-07-09,36.4668,ARENA4,36.4668,9,MAGORA,NON,PM,reverse,4
