"000:00:00.000","Info","2019-06-05 06:35:24","Service 'BG5' : Execution start"
"000:00:00.000","Info","Subject Identification","pin._ gre.bro yel._ _.pur"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.602","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_CHECK","ARENA1_ZONE2_GREY","ARENA2_ZONE1_CHECK","ARENA2_ZONE2_GREY","ARENA3_ZONE1_CHECK","ARENA3_ZONE2_GREY","ARENA4_ZONE1_CHECK","ARENA4_ZONE2_GREY"
"000:35:30.602","","","","","","ZONE_DISTANCES",15313,23159,19126,17330,13767,18680,18563,12283
"000:35:30.603","","","","","","ZONE_TIMERS",121.574,178.509,160.598,139.485,116.232,183.851,180.374,119.709
"000:35:30.603","","","","","","ZONE_COUNTERS",49,50,43,43,39,40,36,37
"000:35:30.604","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.604","","","","","","TOTAL_ARENA_DISTANCES",38471,36456,32448,30845
"000:40:30.666","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GREY","ARENA1_ZONE2_CHECK","ARENA2_ZONE1_GREY","ARENA2_ZONE2_CHECK","ARENA3_ZONE1_GREY","ARENA3_ZONE2_CHECK","ARENA4_ZONE1_GREY","ARENA4_ZONE2_CHECK"
"000:40:30.667","","","","","","ZONE_DISTANCES",20191,12071,19414,16753,15202,19879,15698,14976
"000:40:30.667","","","","","","ZONE_TIMERS",193.499,106.564,158.427,141.637,137.216,162.848,144.015,156.049
"000:40:30.668","","","","","","ZONE_COUNTERS",34,34,38,39,38,38,38,39
"000:40:30.668","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.669","","","","","","TOTAL_ARENA_DISTANCES",32263,36167,35081,30674
"000:45:30.764","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_CHECK","ARENA1_ZONE2_GREY","ARENA2_ZONE1_CHECK","ARENA2_ZONE2_GREY","ARENA3_ZONE1_CHECK","ARENA3_ZONE2_GREY","ARENA4_ZONE1_CHECK","ARENA4_ZONE2_GREY"
"000:45:30.764","","","","","","ZONE_DISTANCES",18201,16446,19620,17647,16367,18877,15536,13740
"000:45:30.765","","","","","","ZONE_TIMERS",187.706,112.390,161.702,138.395,131.520,168.576,166.523,133.573
"000:45:30.765","","","","","","ZONE_COUNTERS",43,42,43,43,40,40,39,39
"000:45:30.766","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.766","","","","","","TOTAL_ARENA_DISTANCES",34646,37267,35244,29276
"000:50:30.833","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GREY","ARENA1_ZONE2_CHECK","ARENA2_ZONE1_GREY","ARENA2_ZONE2_CHECK","ARENA3_ZONE1_GREY","ARENA3_ZONE2_CHECK","ARENA4_ZONE1_GREY","ARENA4_ZONE2_CHECK"
"000:50:30.833","","","","","","ZONE_DISTANCES",18710,13529,18789,17007,16691,19970,15553,13176
"000:50:30.834","","","","","","ZONE_TIMERS",162.286,137.782,155.336,144.732,131.810,168.258,159.450,140.618
"000:50:30.834","","","","","","ZONE_COUNTERS",36,35,42,42,48,48,39,38
"000:50:30.835","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.835","","","","","","TOTAL_ARENA_DISTANCES",32239,35796,36661,28729
