"conditions","R","se","lowCI","highCI","LRT_P","P_permut"
"Red",0.438111634251254,0.0851888977841874,0.250584222165641,0.584634766257874,5.25328283548624e-06,0.001
"Green",0.454034364903551,0.0822033599215954,0.278015187633454,0.604282615494583,1.44991666892169e-06,0.001
"Grey",0.455932279326129,0.0805450969789768,0.276242431352889,0.607029846048565,1.29398220157365e-06,0.001
"Orange",0.463614484897698,0.0814109516720758,0.283405301085175,0.605195019545717,1.63733137664146e-06,0.001
"red_pref_male_output",0.492956496314737,0.0981596825572047,0.288429963505387,0.65609190298478,3.83567834608747e-05,0.001
"red_pref_female_output",0.331573057536428,0.149936802335082,0.00969235197269152,0.586439104716052,0.0247980506320392,0.04
"green_pref_male_output",0.434115698837412,0.103082495895744,0.21595467255484,0.614460060071851,0.000226051687127026,0.002
"green_pref_female_output",0.490674802381995,0.132218363015752,0.203160831973865,0.702437013806525,0.00110900023688576,0.004
"check_pref_male_output",0.499148033198739,0.0915778552048784,0.30936980341616,0.657514042457557,1.88951529930649e-05,0.001
"check_pref_female_output",0.391412617578881,0.145945625882092,0.0568924712363005,0.63595334827316,0.0091100419190265,0.008
"orange_pref_male_output",0.519690401274909,0.104125043329598,0.280259732485721,0.681218607862316,2.01490947830904e-05,0.001
"orange_pref_female_output",0.411898418061296,0.142950556314591,0.0831553366165432,0.649119166215811,0.00691134443149209,0.012
