"conditions","R","se","lowCI","highCI","LRT_P","P_permut","CS"
"Across",0.0470487360682725,0.024023277980575,0.00143977208542765,0.0976640456567878,0.0170442404319715,0.0123,"Across Conditions"
"Green_Blue",0.0282916801458442,0.0463040622186081,0,0.153758018246893,0.36864023415819,0.3225,"Green/Blue"
"Blue_Green",0.150790221562327,0.0651635147210822,0.0236018391237422,0.278951790819489,0.0100683098798437,0.0093,"Blue/Green"
"First",0,0.0624924476126185,0,0.211550336502951,1,1,"Green/Blue & Blue/Green"
"Second",0.0129956787834322,0.0674618861296402,0,0.223688653721301,0.466740571689815,0.4931,"Green/Blue & Blue/Green"
"Third",0,0.0635368611672039,0,0.210288914891381,1,1,"Green/Blue & Blue/Green"
"All",0.0135020243043894,0.0224911569674874,0,0.0752516778661381,0.336168476484259,0.3244,"Green/Blue & Blue/Green"
"Across_Male",0.0696120867410048,0.0335819954676308,0.00588734946853437,0.138795874699504,0.0070367028991005,0.0045,NA
"Across_Female",0,0.0202546161196479,0,0.0691693563003019,0.499999809769497,1,NA
"Green/Blue_Male",0.0393059603079794,0.0593799381336362,0,0.195225773472976,0.346546770990959,0.2956,NA
"Green/Blue_Female",0.0160468083270726,0.0668629240311284,0,0.222791790009144,0.472536665603434,0.4214,NA
"Blue/Green_Male",0.232600713873618,0.0865687907463151,0.0561530412712399,0.398315623697748,0.00204846227822681,0.0021,NA
"Blue/Green_Female",0.0227711354298125,0.0653801029955145,0,0.21839859905699,0.445207094731759,0.3886,NA
"First_Male",0,0.0766487130430046,0,0.255592392233716,0.499999865486721,1,NA
"First_Female",0.029853186538298,0.114956599725056,0,0.379024297192511,0.431380419799325,0.4665,NA
"Second_Male",0,0.081471455347619,0,0.274520069681697,1,1,NA
"Second_Female",0.0739246398959544,0.120767287827076,0,0.394199839031884,0.305248182084118,0.3503,NA
"Third_Male",0,0.0787402348859265,0,0.262741003318602,1,1,NA
"Third_Female",0,0.100325421175582,0,0.335135630657641,1,1,NA
"All_Male",0.0461075161103396,0.0380760250333041,0,0.134092178519042,0.101291522328346,0.1149,NA
"All_Female",0,0.0298295581127056,0,0.100707480700656,0.499999809769497,1,NA
