"conditions","R","se","lowCI","highCI","LRT_P","P_permut"
"Across_Male",0.0696120867410048,0.0335819954676308,0.00588734946853437,0.138795874699504,0.0070367028991005,0.0045
"Across_Female",0,0.0202546161196479,0,0.0691693563003019,0.499999809769497,1
"Green/Blue_Male",0.0393059603079794,0.0593799381336362,0,0.195225773472976,0.346546770990959,0.2956
"Green/Blue_Female",0.0160468083270726,0.0668629240311284,0,0.222791790009144,0.472536665603434,0.4214
"Blue/Green_Male",0.232600713873618,0.0865687907463151,0.0561530412712399,0.398315623697748,0.00204846227822681,0.0021
"Blue/Green_Female",0.0227711354298125,0.0653801029955145,0,0.21839859905699,0.445207094731759,0.3886
"First_Male",0,0.0766487130430046,0,0.255592392233716,0.499999865486721,1
"First_Female",0.029853186538298,0.114956599725056,0,0.379024297192511,0.431380419799325,0.4665
"Second_Male",0,0.081471455347619,0,0.274520069681697,1,1
"Second_Female",0.0739246398959544,0.120767287827076,0,0.394199839031884,0.305248182084118,0.3503
"Third_Male",0,0.0787402348859265,0,0.262741003318602,1,1
"Third_Female",0,0.100325421175582,0,0.335135630657641,1,1
"All_Male",0.0461075161103396,0.0380760250333041,0,0.134092178519042,0.101291522328346,0.1149
"All_Female",0,0.0298295581127056,0,0.100707480700656,0.499999809769497,1
