"000:00:00.000","Info","2019-06-06 06:12:20","Service 'BG9P5' : Execution start"
"000:00:00.000","Info","Subject Identification","red.pin bla._ _.red blu.blu"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.623","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_CHECK","ARENA1_ZONE2_GREY","ARENA2_ZONE1_CHECK","ARENA2_ZONE2_GREY","ARENA3_ZONE1_CHECK","ARENA3_ZONE2_GREY","ARENA4_ZONE1_CHECK","ARENA4_ZONE2_GREY"
"000:35:30.623","","","","","","ZONE_DISTANCES",17635,14363,8796,24147,18544,11822,19238,21812
"000:35:30.624","","","","","","ZONE_TIMERS",173.200,126.858,80.721,219.337,221.078,78.980,145.327,154.731
"000:35:30.624","","","","","","ZONE_COUNTERS",48,48,60,59,35,34,49,49
"000:35:30.625","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.625","","","","","","TOTAL_ARENA_DISTANCES",31998,32943,30366,41050
"000:40:30.690","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GREY","ARENA1_ZONE2_CHECK","ARENA2_ZONE1_GREY","ARENA2_ZONE2_CHECK","ARENA3_ZONE1_GREY","ARENA3_ZONE2_CHECK","ARENA4_ZONE1_GREY","ARENA4_ZONE2_CHECK"
"000:40:30.691","","","","","","ZONE_DISTANCES",15320,13709,22653,11397,8596,17950,19498,21408
"000:40:30.691","","","","","","ZONE_TIMERS",145.695,154.372,195.515,104.552,74.998,225.069,131.644,168.423
"000:40:30.692","","","","","","ZONE_COUNTERS",38,39,52,52,28,27,60,60
"000:40:30.692","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.692","","","","","","TOTAL_ARENA_DISTANCES",29029,34050,26546,40906
"000:45:30.744","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_CHECK","ARENA1_ZONE2_GREY","ARENA2_ZONE1_CHECK","ARENA2_ZONE2_GREY","ARENA3_ZONE1_CHECK","ARENA3_ZONE2_GREY","ARENA4_ZONE1_CHECK","ARENA4_ZONE2_GREY"
"000:45:30.744","","","","","","ZONE_DISTANCES",16476,16059,17442,29295,14506,11481,16076,24892
"000:45:30.744","","","","","","ZONE_TIMERS",160.498,139.554,129.238,170.814,209.931,90.121,124.500,175.552
"000:45:30.745","","","","","","ZONE_COUNTERS",48,49,76,76,30,29,65,65
"000:45:30.745","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.746","","","","","","TOTAL_ARENA_DISTANCES",32535,46737,25987,40967
"000:50:30.818","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GREY","ARENA1_ZONE2_CHECK","ARENA2_ZONE1_GREY","ARENA2_ZONE2_CHECK","ARENA3_ZONE1_GREY","ARENA3_ZONE2_CHECK","ARENA4_ZONE1_GREY","ARENA4_ZONE2_CHECK"
"000:50:30.820","","","","","","ZONE_DISTANCES",16200,6219,20723,19535,8390,11124,22533,18445
"000:50:30.821","","","","","","ZONE_TIMERS",215.154,84.919,135.951,164.121,68.753,231.320,158.087,141.986
"000:50:30.823","","","","","","ZONE_COUNTERS",26,27,67,66,23,23,61,61
"000:50:30.824","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.826","","","","","","TOTAL_ARENA_DISTANCES",22419,40259,19515,40978
"000:55:30.882","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_CHECK","ARENA1_ZONE2_GREY","ARENA2_ZONE1_CHECK","ARENA2_ZONE2_GREY","ARENA3_ZONE1_CHECK","ARENA3_ZONE2_GREY","ARENA4_ZONE1_CHECK","ARENA4_ZONE2_GREY"
"000:55:30.882","","","","","","ZONE_DISTANCES",11794,13209,15815,20566,12727,10024,18127,21320
"000:55:30.883","","","","","","ZONE_TIMERS",147.993,152.071,146.142,153.922,223.884,76.180,150.693,149.370
"000:55:30.883","","","","","","ZONE_COUNTERS",31,32,60,60,29,29,64,64
"000:55:30.884","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.884","","","","","","TOTAL_ARENA_DISTANCES",25002,36380,22751,39447
"001:00:30.940","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GREY","ARENA1_ZONE2_CHECK","ARENA2_ZONE1_GREY","ARENA2_ZONE2_CHECK","ARENA3_ZONE1_GREY","ARENA3_ZONE2_CHECK","ARENA4_ZONE1_GREY","ARENA4_ZONE2_CHECK"
"001:00:30.941","","","","","","ZONE_DISTANCES",16525,5731,25433,25757,7901,14206,20620,20734
"001:00:30.941","","","","","","ZONE_TIMERS",240.079,59.978,135.870,164.187,49.154,250.903,139.246,160.811
"001:00:30.942","","","","","","ZONE_COUNTERS",29,29,77,77,21,21,56,57
"001:00:30.942","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.942","","","","","","TOTAL_ARENA_DISTANCES",22256,51190,22106,41354
"001:00:31.037","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.037","","","","","","ZONE_DISTANCES",93950,69290,110862,130697,70664,76607,116092,128611
"001:00:31.038","","","","","","ZONE_TIMERS",1082.627,717.754,823.446,976.935,847.800,952.581,849.500,950.881
"001:00:31.038","","","","","","ZONE_COUNTERS",220,219,389,388,162,162,353,353
"001:00:31.039","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.039","","","","","","TOTAL_ARENA_DISTANCES",163240,241559,147270,244703
"001:03:02.961","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_CHECK","ARENA1_ZONE2_GREY","ARENA2_ZONE1_CHECK","ARENA2_ZONE2_GREY","ARENA3_ZONE1_CHECK","ARENA3_ZONE2_GREY","ARENA4_ZONE1_CHECK","ARENA4_ZONE2_GREY"
"001:03:02.961","","","","","","ZONE_DISTANCES",91,6596,3086,6265,3886,3954,4012,2570
"001:03:02.962","","","","","","ZONE_TIMERS",0.355,59.698,24.184,35.869,50.719,9.333,39.168,20.885
"001:03:02.962","","","","","","ZONE_COUNTERS",1,2,13,14,12,12,8,8
"001:03:02.963","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.963","","","","","","TOTAL_ARENA_DISTANCES",6688,9351,7841,6582
"001:04:03.027","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GREY","ARENA1_ZONE2_CHECK","ARENA2_ZONE1_GREY","ARENA2_ZONE2_CHECK","ARENA3_ZONE1_GREY","ARENA3_ZONE2_CHECK","ARENA4_ZONE1_GREY","ARENA4_ZONE2_CHECK"
"001:04:03.028","","","","","","ZONE_DISTANCES",8745,3289,5514,3726,1048,779,4409,3793
"001:04:03.028","","","","","","ZONE_TIMERS",41.349,18.716,32.456,27.609,3.071,56.994,29.561,30.504
"001:04:03.029","","","","","","ZONE_COUNTERS",13,13,15,15,3,3,12,12
"001:04:03.030","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.031","","","","","","TOTAL_ARENA_DISTANCES",12034,9240,1826,8202
"001:04:03.128","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:04:03.128","","","","","","ZONE_DISTANCES",8836,9885,8600,9991,4934,4733,8421,6363
"001:04:03.129","","","","","","ZONE_TIMERS",41.704,78.415,56.641,63.478,53.791,66.328,68.730,51.389
"001:04:03.129","","","","","","ZONE_COUNTERS",14,14,28,28,14,15,19,20
"001:04:03.129","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.130","","","","","","TOTAL_ARENA_DISTANCES",18722,18591,9667,14784
"001:05:03.361","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_CHECK","ARENA1_ZONE2_GREY","ARENA2_ZONE1_CHECK","ARENA2_ZONE2_GREY","ARENA3_ZONE1_CHECK","ARENA3_ZONE2_GREY","ARENA4_ZONE1_CHECK","ARENA4_ZONE2_GREY"
"001:05:03.362","","","","","","ZONE_DISTANCES",1311,6412,3107,4934,2229,1922,4239,3656
"001:05:03.362","","","","","","ZONE_TIMERS",9.347,50.878,24.000,36.225,53.001,7.224,34.761,25.463
"001:05:03.363","","","","","","ZONE_COUNTERS",13,13,15,14,6,6,11,12
"001:05:03.363","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:03.363","","","","","","TOTAL_ARENA_DISTANCES",7723,8041,4151,7895
"001:06:03.419","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GREY","ARENA1_ZONE2_CHECK","ARENA2_ZONE1_GREY","ARENA2_ZONE2_CHECK","ARENA3_ZONE1_GREY","ARENA3_ZONE2_CHECK","ARENA4_ZONE1_GREY","ARENA4_ZONE2_CHECK"
"001:06:03.419","","","","","","ZONE_DISTANCES",5125,854,6245,4242,2890,4217,4492,3564
"001:06:03.419","","","","","","ZONE_TIMERS",54.217,5.840,32.772,27.284,12.079,47.978,33.217,26.840
"001:06:03.420","","","","","","ZONE_COUNTERS",5,5,17,16,9,9,12,13
"001:06:03.420","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.421","","","","","","TOTAL_ARENA_DISTANCES",5978,10487,7107,8056
"001:06:03.522","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:06:03.522","","","","","","ZONE_DISTANCES",6436,7266,9352,9176,5119,6139,8731,7220
"001:06:03.523","","","","","","ZONE_TIMERS",63.564,56.718,56.773,63.509,65.080,55.202,67.979,52.304
"001:06:03.523","","","","","","ZONE_COUNTERS",18,17,31,30,14,15,23,24
"001:06:03.523","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.524","","","","","","TOTAL_ARENA_DISTANCES",13702,18528,11259,15950
"001:07:03.718","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_CHECK","ARENA1_ZONE2_GREY","ARENA2_ZONE1_CHECK","ARENA2_ZONE2_GREY","ARENA3_ZONE1_CHECK","ARENA3_ZONE2_GREY","ARENA4_ZONE1_CHECK","ARENA4_ZONE2_GREY"
"001:07:03.718","","","","","","ZONE_DISTANCES",683,5506,4341,4517,2341,1765,3681,4603
"001:07:03.719","","","","","","ZONE_TIMERS",5.102,55.086,32.354,27.833,52.346,7.842,27.849,32.339
"001:07:03.719","","","","","","ZONE_COUNTERS",4,4,14,14,6,6,10,11
"001:07:03.720","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.720","","","","","","TOTAL_ARENA_DISTANCES",6189,8858,4106,8284
"001:08:03.800","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GREY","ARENA1_ZONE2_CHECK","ARENA2_ZONE1_GREY","ARENA2_ZONE2_CHECK","ARENA3_ZONE1_GREY","ARENA3_ZONE2_CHECK","ARENA4_ZONE1_GREY","ARENA4_ZONE2_CHECK"
"001:08:03.801","","","","","","ZONE_DISTANCES",4494,1706,4727,4029,996,3065,3690,4336
"001:08:03.801","","","","","","ZONE_TIMERS",45.159,14.922,31.848,28.234,4.354,55.727,26.139,33.943
"001:08:03.802","","","","","","ZONE_COUNTERS",8,9,15,16,4,4,11,12
"001:08:03.802","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:08:03.802","","","","","","TOTAL_ARENA_DISTANCES",6200,8756,4060,8026
"001:08:03.905","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:08:03.906","","","","","","ZONE_DISTANCES",5177,7212,9068,8546,3337,4830,7371,8939
"001:08:03.906","","","","","","ZONE_TIMERS",50.261,70.009,64.202,56.067,56.700,63.570,53.988,66.282
"001:08:03.907","","","","","","ZONE_COUNTERS",12,12,29,29,9,10,21,22
"001:08:03.907","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:08:03.908","","","","","","TOTAL_ARENA_DISTANCES",12389,17614,8166,16310
"001:08:03.908","Info","2019-06-06 07:20:24","Service 'BG9P5' : Execution end"
